City/Town,Report Date,Total Case Count,Two Week Case Counts,Average Daily Rate,% Change in Last Week,Total Tests,Total Tests Last Two Weeks,Total Positive Tests,Percent Positivity,Change Since Last Week
Fitchburg,12/3/2020,1767,249,42.2,Lower,35694,3920,295,7.53%,Lower
Florida,12/3/2020,<5,<5,9.1,Higher,317,39,1,2.56%,Higher
Foxborough,12/3/2020,347,64,25.1,Lower,25699,2756,72,2.61%,Lower
Framingham,12/3/2020,3488,419,40.2,Higher,72341,9342,471,5.04%,Higher
Franklin,12/3/2020,492,111,23.4,Lower,23112,3193,123,3.85%,Lower
Freetown,12/3/2020,250,42,33.2,Lower,6042,765,48,6.27%,Higher
Gardner,12/3/2020,484,132,47.4,Higher,18252,1729,141,8.16%,Higher
Georgetown,12/3/2020,170,38,30.2,Higher,6453,854,41,4.80%,Higher
Gill,12/3/2020,6,<5,12.8,Higher,2588,172,4,2.33%,Higher
Gloucester,12/3/2020,555,85,21.4,Higher,20549,2525,106,4.20%,Higher
Goshen,12/3/2020,10,<5,18.5,No Change,381,52,4,7.69%,Higher
Gosnold,12/3/2020,5,0,0,No Change,111,0,0,0%,No Change
Grafton,12/3/2020,307,87,30.9,Higher,17313,2282,95,4.16%,Higher
Granby,12/3/2020,104,28,32.7,Higher,5340,695,29,4.17%,Higher
Granville,12/3/2020,28,6,27.7,No Change,1039,141,7,4.96%,Lower
Great Barrington,12/3/2020,104,16,17.0,Higher,12832,1430,17,1.19%,Higher
Greenfield,12/3/2020,294,30,12.5,Higher,15401,1412,30,2.12%,Higher
Groton,12/3/2020,138,54,33.0,Higher,11645,1416,55,3.88%,Higher
Groveland,12/3/2020,106,24,25.0,Higher,4989,674,28,4.15%,Higher
Hadley,12/3/2020,68,7,8.6,No Change,11615,1360,8,0.59%,Higher
Halifax,12/3/2020,120,23,21.5,Higher,4664,473,24,5.07%,Higher
Hamilton,12/3/2020,91,21,20.3,Higher,5549,812,26,3.20%,Higher
Hampden,12/3/2020,177,35,51.0,Lower,4613,625,43,6.88%,Lower
Hancock,12/3/2020,7,<5,22.3,No Change,135,18,2,11.11%,No Change
Hanover,12/3/2020,272,53,26.3,Higher,9613,1124,59,5.25%,Higher
Hanson,12/3/2020,237,34,22.6,Lower,6940,752,36,4.79%,Higher
Hardwick,12/3/2020,19,5,10.7,No Change,1639,193,6,3.11%,Higher
Harvard,12/3/2020,44,8,8.2,Higher,4310,502,8,1.59%,Higher
Harwich,12/3/2020,219,30,17.0,Higher,7835,889,34,3.82%,Higher
Hatfield,12/3/2020,42,<5,6.6,Lower,2942,370,3,0.81%,Lower
Haverhill,12/3/2020,2773,538,58.3,Higher,65320,8389,605,7.21%,Higher
Hawley,12/3/2020,0,0,0,No Change,57,7,0,0%,No Change
Heath,12/3/2020,<5,<5,36.4,Higher,317,27,3,11.11%,Higher
Hingham,12/3/2020,551,82,24.4,Higher,21474,3238,88,2.72%,Higher
Hinsdale,12/3/2020,10,<5,6.7,No Change,1434,203,3,1.48%,Higher
Holbrook,12/3/2020,340,37,23.3,No Change,8337,935,46,4.92%,Higher
Holden,12/3/2020,424,134,50.4,Higher,18670,2546,146,5.73%,Higher
Holland,12/3/2020,27,10,27.8,Higher,1535,184,11,5.98%,Higher
Holliston,12/3/2020,243,49,25.5,Lower,12054,1371,57,4.16%,Higher
Holyoke,12/3/2020,2083,287,50.4,Lower,44064,5885,373,6.34%,Higher
Hopedale,12/3/2020,128,32,40.6,Lower,4940,552,35,6.34%,Higher
Hopkinton,12/3/2020,276,66,28.8,Higher,14731,1904,69,3.62%,Higher
Hubbardston,12/3/2020,40,11,16.8,Lower,3118,358,12,3.35%,Lower
Hudson,12/3/2020,548,104,35.3,Higher,16122,2099,117,5.57%,Higher
Hull,12/3/2020,134,20,14.6,Lower,6413,772,21,2.72%,Lower
Huntington,12/3/2020,34,<5,9.7,Lower,1518,164,3,1.83%,Lower
Ipswich,12/3/2020,186,32,17.0,Lower,10304,1362,41,3.01%,Lower
Kingston,12/3/2020,287,29,15.2,Higher,11413,1247,35,2.81%,Higher
Lakeville,12/3/2020,202,43,27.0,Lower,7458,904,45,4.98%,Higher
Lancaster,12/3/2020,196,26,21.6,Lower,5831,750,27,3.60%,Lower
Lanesborough,12/3/2020,35,16,37.8,Higher,1973,284,16,5.63%,Higher
Lawrence,12/3/2020,9158,1318,107.3,Lower,100681,11678,1717,14.70%,Higher
Lee,12/3/2020,61,15,18.4,Lower,3996,628,21,3.34%,Lower
Leicester,12/3/2020,339,58,36.8,No Change,10016,1097,63,5.74%,Higher
Lenox,12/3/2020,93,48,70.9,Higher,5105,1112,55,4.95%,Higher
Leominster,12/3/2020,1665,291,51.5,Lower,35668,4073,333,8.18%,No Change
Leverett,12/3/2020,11,<5,10.6,Higher,2551,304,3,0.99%,Higher
Lexington,12/3/2020,445,33,6.9,Higher,26803,3480,38,1.09%,Higher
Leyden,12/3/2020,<5,<5,11.7,No Change,134,19,1,5.26%,Higher
Lincoln,12/3/2020,67,<5,3.3,Lower,5728,680,6,0.88%,Lower
Littleton,12/3/2020,200,28,20.5,No Change,8200,1054,32,3.04%,No Change
Longmeadow,12/3/2020,384,40,18.5,Lower,16259,2365,43,1.82%,Lower
Lowell,12/3/2020,6774,1273,78.3,Lower,113215,14249,1477,10.37%,Higher
Ludlow,12/3/2020,541,205,70.7,Higher,17371,2465,233,9.45%,Higher
Lunenburg,12/3/2020,219,48,32.9,Lower,7653,916,51,5.57%,Lower
Lynn,12/3/2020,7639,954,67.6,Lower,97692,11462,1172,10.23%,Higher
Lynnfield,12/3/2020,302,63,38.8,Lower,11682,1705,72,4.22%,No Change
Malden,12/3/2020,2589,360,38.0,Lower,65695,8081,419,5.19%,Higher
Manchester,12/3/2020,58,17,24.8,Higher,3825,698,17,2.44%,Higher
Mansfield,12/3/2020,422,73,22.1,Higher,18323,2272,79,3.48%,Higher
Marblehead,12/3/2020,422,62,23.3,Higher,17739,2762,76,2.75%,No Change
Marion,12/3/2020,114,30,46.6,Lower,9526,750,39,5.20%,Higher
Marlborough,12/3/2020,1915,236,38.6,Higher,41536,5421,259,4.78%,Higher
Marshfield,12/3/2020,440,78,21.5,Higher,16604,2022,89,4.40%,Higher
Mashpee,12/3/2020,156,37,17.0,Higher,10531,1402,39,2.78%,Higher
Mattapoisett,12/3/2020,117,24,29.9,Higher,4399,680,24,3.53%,Higher
Maynard,12/3/2020,185,38,26.1,Lower,8784,1065,43,4.04%,No Change
Medfield,12/3/2020,139,23,14.6,Lower,10915,1549,24,1.55%,Lower
Medford,12/3/2020,1909,254,29.9,Higher,126025,20967,297,1.42%,No Change
Medway,12/3/2020,234,31,16.9,Lower,10392,1282,32,2.50%,Lower
Melrose,12/3/2020,646,134,33.0,Higher,33141,4624,164,3.55%,Higher
Mendon,12/3/2020,104,27,33.4,Higher,4186,427,27,6.32%,Higher
Merrimac,12/3/2020,98,27,30.4,No Change,4897,657,35,5.33%,No Change
Methuen,12/3/2020,2670,472,62.6,Higher,50704,6518,564,8.65%,Higher
Middleborough,12/3/2020,539,84,21.9,No Change,17414,2163,94,4.35%,Higher
Middlefield,12/3/2020,<5,<5,16.1,Higher,145,21,1,4.76%,Higher
Middleton,12/3/2020,479,75,51.4,Higher,8970,1226,89,7.26%,Higher
Milford,12/3/2020,1231,173,42.1,Higher,23535,2587,185,7.15%,Higher
Millbury,12/3/2020,414,76,39.7,Lower,10403,1303,82,6.29%,Lower
Millis,12/3/2020,115,17,15.4,Lower,5915,733,20,2.73%,Higher
Millville,12/3/2020,54,6,11.9,Lower,1906,237,6,2.53%,Lower
Milton,12/3/2020,708,131,32.5,Higher,44500,5246,146,2.78%,Higher
Monroe,12/3/2020,<5,0,0,No Change,45,2,0,0%,No Change
Monson,12/3/2020,141,35,29.8,Lower,5893,731,39,5.34%,Lower
Montague,12/3/2020,58,11,9.3,No Change,6523,654,12,1.83%,Higher
Monterey,12/3/2020,<5,<5,7.7,Higher,662,85,1,1.18%,Higher
Montgomery,12/3/2020,8,0,0,No Change,173,23,0,0%,No Change
Mount Washington,12/3/2020,0,0,0,No Change,38,3,0,0%,No Change
Nahant,12/3/2020,92,12,26.5,Lower,3568,692,17,2.46%,Lower
Nantucket,12/3/2020,319,49,30.7,Lower,11353,1437,55,3.83%,Lower
Natick,12/3/2020,715,96,19.0,Higher,34772,4926,104,2.11%,Higher
Needham,12/3/2020,571,83,20.3,Higher,35537,4983,91,1.83%,Higher
New Ashford,12/3/2020,<5,0,0,No Change,85,9,0,0%,No Change
New Bedford,12/3/2020,4639,676,48.3,Higher,78526,10650,815,7.65%,Higher
New Braintree,12/3/2020,9,<5,26.9,Higher,583,85,5,5.88%,Higher
New Marlborough,12/3/2020,10,<5,4.7,Higher,620,80,1,1.25%,Higher
New Salem,12/3/2020,7,<5,7.3,Higher,696,63,1,1.59%,Higher
Newbury,12/3/2020,78,26,28.1,Higher,6344,796,27,3.39%,Higher
Newburyport,12/3/2020,368,98,39.4,Higher,18395,2623,107,4.08%,Higher
Newton,12/3/2020,1570,259,20.2,Higher,186649,25577,278,1.09%,Higher
Norfolk,12/3/2020,427,85,48.6,Higher,10513,1044,92,8.81%,Higher
North Adams,12/3/2020,113,25,13.9,No Change,13794,2152,25,1.16%,Lower
North Andover,12/3/2020,1010,148,34.9,Lower,75008,8307,174,2.09%,Higher
North Attleborough,12/3/2020,647,133,31.3,Higher,19537,2664,142,5.33%,Higher
North Brookfield,12/3/2020,66,27,41.6,Higher,2921,331,27,8.16%,Higher
North Reading,12/3/2020,413,79,33.9,Higher,15446,2342,95,4.06%,Higher
Northampton,12/3/2020,444,47,11.5,Lower,40317,4535,52,1.15%,Lower
Northborough,12/3/2020,419,63,33.2,Higher,14874,2044,76,3.72%,Higher
Northbridge,12/3/2020,558,61,23.9,Lower,13865,1990,75,3.77%,Lower
Northfield,12/3/2020,8,0,0,Lower,2527,234,0,0%,Lower
Norton,12/3/2020,438,112,40.2,Higher,42386,3001,121,4.03%,Higher
Norwell,12/3/2020,193,16,10.7,Higher,8975,1189,18,1.51%,Higher
Norwood,12/3/2020,1007,112,26.4,Higher,28583,3384,130,3.84%,Higher
Oak Bluffs,12/3/2020,52,19,26.1,Lower,4175,524,19,3.63%,Lower
Oakham,12/3/2020,18,<5,13.4,No Change,1248,183,4,2.19%,Lower
Orange,12/3/2020,71,8,7.0,Higher,5743,545,9,1.65%,Higher
Orleans,12/3/2020,32,9,11.4,Higher,2877,341,10,2.93%,Higher
Otis,12/3/2020,11,<5,7.6,Lower,785,120,2,1.67%,Lower
Oxford,12/3/2020,238,36,18.7,Lower,9178,1014,41,4.04%,Lower
Palmer,12/3/2020,201,48,29.0,Higher,8639,1123,57,5.08%,Higher
Paxton,12/3/2020,116,27,38.9,Lower,13332,712,29,4.07%,Higher
Peabody,12/3/2020,2231,458,58.5,Higher,50958,7588,526,6.93%,Higher
Pelham,12/3/2020,7,<5,11.6,No Change,608,47,2,4.26%,Higher
Pembroke,12/3/2020,272,51,19.4,Higher,11199,1315,56,4.26%,Higher
Pepperell,12/3/2020,137,27,15.7,Higher,6903,816,28,3.43%,Higher
Peru,12/3/2020,<5,0,0,Lower,243,19,0,0%,Lower
Petersham,12/3/2020,15,<5,5.6,Higher,836,85,1,1.18%,Higher
Phillipston,12/3/2020,23,<5,16.7,Higher,865,90,4,4.44%,Higher
Pittsfield,12/3/2020,855,354,57.5,Higher,35024,6479,398,6.14%,Higher
Plainfield,12/3/2020,9,6,68.5,Higher,408,58,7,12.07%,Higher
Plainville,12/3/2020,167,26,20.2,Higher,6675,855,27,3.16%,Higher
Plymouth,12/3/2020,1238,145,16.5,Lower,43133,5266,161,3.06%,No Change
Plympton,12/3/2020,31,8,19.0,Lower,1665,200,10,5.00%,No Change
Princeton,12/3/2020,37,16,35.4,No Change,3064,387,18,4.65%,Higher
Provincetown,12/3/2020,32,0,0,No Change,2512,218,0,0%,No Change
Quincy,12/3/2020,2295,331,23.3,Higher,84587,10504,375,3.57%,Higher
Randolph,12/3/2020,1543,178,36.9,Higher,32280,3643,206,5.65%,Higher
Raynham,12/3/2020,426,53,25.0,Higher,11398,1419,69,4.86%,Higher
Reading,12/3/2020,562,83,21.4,Lower,23456,3124,96,3.07%,Lower
Rehoboth,12/3/2020,268,76,42.7,Higher,7029,1056,83,7.86%,Higher
Revere,12/3/2020,4408,504,59.2,Higher,69502,8068,633,7.85%,Higher
Richmond,12/3/2020,16,<5,16.4,No Change,868,126,3,2.38%,Lower
Rochester,12/3/2020,94,21,26.4,No Change,3495,485,23,4.74%,Higher
Rockland,12/3/2020,545,60,23.7,Higher,11887,1475,71,4.81%,Higher
Rockport,12/3/2020,110,9,9.9,Lower,4433,535,10,1.87%,Lower
Rowe,12/3/2020,<5,0,0,No Change,246,29,0,0%,No Change
Rowley,12/3/2020,106,14,16.2,Higher,4878,604,15,2.48%,Higher
Royalston,12/3/2020,7,<5,11.2,No Change,804,88,2,2.27%,Higher
Russell,12/3/2020,41,8,30.2,Higher,1116,128,8,6.25%,Higher
Rutland,12/3/2020,143,48,37.6,Higher,7353,930,52,5.59%,Higher
Salem,12/3/2020,1615,289,45.9,Lower,53890,9297,351,3.78%,Lower
Salisbury,12/3/2020,169,42,33.9,No Change,5820,721,50,6.93%,Higher
Sandisfield,12/3/2020,10,<5,7.7,Higher,829,78,1,1.28%,Higher
Sandwich,12/3/2020,183,15,5.1,Lower,12488,1732,18,1.04%,Lower
Saugus,12/3/2020,1311,199,49.9,Higher,29059,3766,236,6.27%,Higher
Savoy,12/3/2020,<5,<5,11.5,No Change,341,54,1,1.85%,No Change
Scituate,12/3/2020,347,34,13.4,Lower,13263,1678,37,2.21%,Lower
Seekonk,12/3/2020,403,116,59.1,Higher,8209,1117,132,11.82%,Higher
Sharon,12/3/2020,296,48,18.8,Lower,15511,1841,56,3.04%,No Change
Sheffield,12/3/2020,34,7,16.4,Higher,6358,824,7,0.85%,Higher
Shelburne,12/3/2020,18,<5,7.8,Higher,2640,258,2,0.78%,Higher
Sherborn,12/3/2020,40,9,17.0,Higher,3628,528,10,1.89%,Higher
Shirley,12/3/2020,451,114,95.5,Lower,7151,608,119,19.57%,Lower
Shrewsbury,12/3/2020,801,149,26.9,Lower,34364,4245,172,4.05%,No Change
Shutesbury,12/3/2020,<5,0,0,Lower,1674,193,0,0%,Lower
Somerset,12/3/2020,656,130,50.1,Lower,14831,1860,148,7.96%,Lower
Somerville,12/3/2020,2196,375,35.4,Lower,208540,34964,424,1.21%,Lower
South Hadley,12/3/2020,328,46,18.2,No Change,19577,2364,57,2.41%,Higher
Southampton,12/3/2020,74,13,15.4,Higher,4565,581,15,2.58%,Higher
Southborough,12/3/2020,134,33,24.4,Higher,13476,1636,35,2.14%,Higher
Southbridge,12/3/2020,498,147,62.6,Higher,12358,1421,157,11.05%,Higher
Southwick,12/3/2020,192,52,37.9,Lower,6350,797,58,7.28%,Lower
Spencer,12/3/2020,215,58,36.1,Higher,8799,1051,63,5.99%,Higher
Springfield,12/3/2020,7197,1420,64.9,Higher,146842,18734,1768,9.44%,Higher
Sterling,12/3/2020,247,56,50.9,No Change,8142,935,63,6.74%,Higher
Stockbridge,12/3/2020,23,5,20.9,Lower,1597,303,5,1.65%,Lower
Stoneham,12/3/2020,747,136,43.6,Higher,23982,3122,169,5.41%,Higher
Stoughton,12/3/2020,972,125,32.3,Higher,22942,2596,136,5.24%,Higher
Stow,12/3/2020,84,23,22.7,Lower,6043,755,25,3.31%,Lower
Sturbridge,12/3/2020,138,40,27.0,Higher,6617,794,40,5.04%,Higher
Sudbury,12/3/2020,296,20,8.0,Lower,16241,2186,25,1.14%,Lower
Sunderland,12/3/2020,57,12,23.0,Lower,11657,1336,14,1.05%,No Change
Sutton,12/3/2020,196,66,52.6,Higher,7053,914,73,7.99%,Higher
Swampscott,12/3/2020,297,70,36.7,Higher,16179,3027,78,2.58%,Higher
Swansea,12/3/2020,531,115,51.5,Lower,12212,1713,148,8.64%,Lower
Taunton,12/3/2020,1851,257,31.9,Lower,46951,5498,294,5.35%,Lower
Templeton,12/3/2020,194,22,17.4,Lower,6174,699,25,3.58%,Lower
Tewksbury,12/3/2020,1131,214,49.6,Higher,34135,4481,234,5.22%,Higher
Tisbury,12/3/2020,97,22,37.6,Lower,8125,1136,24,2.11%,Lower
Tolland,12/3/2020,<5,<5,17.2,Lower,100,16,1,6.25%,Lower
Topsfield,12/3/2020,165,22,27.2,Higher,6666,1026,25,2.44%,Higher
Townsend,12/3/2020,121,19,14.9,Lower,5932,666,21,3.15%,Lower
Truro,12/3/2020,15,<5,3.6,No Change,1106,79,1,1.27%,No Change
Tyngsborough,12/3/2020,344,83,49.5,Higher,8918,1093,86,7.87%,Higher
Tyringham,12/3/2020,<5,0,0,No Change,198,20,0,0%,No Change
Upton,12/3/2020,93,31,24.1,Higher,5225,715,38,5.31%,Higher
Uxbridge,12/3/2020,280,53,24.2,Lower,9710,1131,61,5.39%,Higher
Wakefield,12/3/2020,681,126,33.2,Higher,26773,3649,152,4.17%,Higher
Wales,12/3/2020,13,<5,11.2,No Change,942,94,4,4.26%,No Change
Walpole,12/3/2020,522,78,21.4,Higher,22129,2606,95,3.65%,Higher
Waltham,12/3/2020,2184,204,21.9,Lower,141458,15527,242,1.56%,Higher
Ware,12/3/2020,126,32,22.5,Lower,7363,911,35,3.84%,No Change
Wareham,12/3/2020,438,67,19.8,Lower,12782,1581,82,5.19%,Higher
Warren,12/3/2020,50,5,6.6,Lower,2697,271,6,2.21%,Lower
Warwick,12/3/2020,<5,0,0,No Change,408,45,0,0%,No Change
Washington,12/3/2020,<5,0,0,No Change,235,34,0,0%,No Change
Watertown,12/3/2020,765,123,26.6,Higher,38847,5156,145,2.81%,Higher
Wayland,12/3/2020,183,17,9.2,Lower,13602,1979,23,1.16%,Lower
Webster,12/3/2020,522,62,25.8,Lower,16343,1792,69,3.85%,No Change
Wellesley,12/3/2020,469,81,19.5,Lower,82921,10239,90,0.88%,No Change
Wellfleet,12/3/2020,18,<5,10.4,Higher,1589,169,6,3.55%,Higher
Wendell,12/3/2020,<5,<5,40.3,Higher,688,76,4,5.26%,Higher
Wenham,12/3/2020,84,36,49.4,Higher,5972,1023,38,3.71%,No Change
West Boylston,12/3/2020,153,47,42.8,Higher,6413,875,52,5.94%,Higher
West Bridgewater,12/3/2020,218,19,18.6,Higher,7264,859,20,2.33%,Higher
West Brookfield,12/3/2020,51,12,23.1,Lower,3543,372,14,3.76%,Lower
West Newbury,12/3/2020,46,10,17.7,Higher,3393,456,11,2.41%,Higher
West Springfield,12/3/2020,995,215,52.3,Lower,22115,3265,256,7.84%,Higher
West Stockbridge,12/3/2020,15,5,30.4,Higher,977,133,5,3.76%,Higher
West Tisbury,12/3/2020,32,9,22.4,Higher,2899,372,10,2.69%,Higher
Westborough,12/3/2020,585,88,33.6,Higher,18703,2706,97,3.58%,Higher
Westfield,12/3/2020,1067,162,28.0,Higher,29510,3760,175,4.65%,Higher
Westford,12/3/2020,370,62,19.2,Lower,17469,2100,69,3.29%,No Change
